form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komnungthangtampak025,mu,1.sg.3.sg.fut.aff,ka-mu-ang,ka-Σ-ang,ka+Σ+ang,k a Σ a ŋ,k a + Σ + a ŋ,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak026,mu,1.sg.3.sg.fut.aff,ka-mung,ka-Σng,ka+Σ+ng,k a Σ ŋ,k a + Σ + ŋ,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak027,mu,1.sg.3.pl.fut.aff,ka-mu-ang-ai,ka-Σ-ang-ai,ka+Σ+ang+ai,k a Σ a ŋ ai,k a + Σ + a ŋ + ai,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak028,mu,1.sg.3.pl.fut.aff,ka-mung-ai,ka-Σng-ai,ka+Σ+ng+ai,k a Σ ŋ ai,k a + Σ + ŋ + ai,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak029,mu,1.pl.excl.3.sg.fut.aff,kan-mu-ang,kan-Σ-ang,ka+n+Σ+ang,k a n Σ a ŋ,k a + n + Σ + a ŋ,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak030,mu,1.pl.excl.3.sg.fut.aff,kan-mung,kan-Σng,ka+n+Σ+ng,k a n Σ ŋ,k a + n + Σ + ŋ,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak031,mu,1.pl.incl.3.sg.fut.aff,ni-mu-ang,ni-Σ-ang,ni+Σ+ang,n i Σ a ŋ,n i + Σ + a ŋ,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak032,mu,1.pl.excl.3.pl.fut.aff,kan-mu-ang-ai,kan-Σ-ang-ai,ka+n+Σ+ang+ai,k a n Σ a ŋ ai,k a + n + Σ + a ŋ + ai,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak033,mu,1.pl.excl.3.pl.fut.aff,kan-mung-ai,kan-Σng-ai,ka+n+Σ+ng+ai,k a n Σ ŋ ai,k a + n + Σ + ŋ + ai,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak034,mu,1.pl.incl.3.pl.fut.aff,ni-mu-ang-ai,ni-Σ-ang-ai,ni+Σ+ang+ai,n i Σ a ŋ ai,n i + Σ + a ŋ + ai,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak035,mu,1.pl.incl.3.pl.fut.aff,ni-mung-ai,ni-Σng-ai,ni+Σ+ng+ai,n i Σ ŋ ai,n i + Σ + ŋ + ai,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak036,mu,1.pl.incl.3.pl.fut.aff,kan-mung-ai,kan-Σng-ai,ka+n+Σ+ng+ai,k a n Σ ŋ ai,k a + n + Σ + ŋ + ai,dialect_var,fusion; morphophon,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak037,se,2.sg.fut.aff,ka-seng-che,ka-Σng-che,ka+Σ+ng+che,k a Σ ŋ tʃ e,k a + Σ + ŋ + tʃ e,unspecified,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak038,se,2.pl.fut.aff,ka-seng-chui,ka-Σng-chui,ka+Σ+ng+chui,k a Σ ŋ tʃ ui,k a + Σ + ŋ + tʃ ui,unspecified,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak039,mu,2.sg.1.sg.fut.aff,na-na-mu-ang,na-na-Σ-ang,na+na+Σ+ang,n a n a Σ a ŋ,n a + n a + Σ + a ŋ,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
